number,value,datetime_start,datetime_complete,duration,params_alpha,params_ent_coef,params_epsilon,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_vf_coef,state
0,2.244999885559082,2023-04-18 22:43:40.694259,2023-04-18 22:46:21.728058,0 days 00:02:41.033799,0.9423416431674668,7.36561776952071e-07,0.0010113599732044722,0.9479783056021814,0.0025701158980095218,0.020867972645595027,604.4120424821522,0.6839582616461791,COMPLETE
1,-55.1939811706543,2023-04-18 22:43:40.698782,2023-04-18 22:44:17.733137,0 days 00:00:37.034355,0.9824058330831164,3.172794465312739e-05,0.0016055713052327213,0.9044315512823773,0.0002691102709587725,0.01785013831426843,17.945018500696932,0.7297888925796856,COMPLETE
2,-0.0,2023-04-18 22:43:40.699217,2023-04-18 22:44:32.785578,0 days 00:00:52.086361,0.9170881078543012,1.630764623709496e-08,3.3589079831488425e-05,0.9905803757600121,0.007901656202633117,0.08586164485766112,93.97440890601224,0.6745721872302555,COMPLETE
3,-55.1939811706543,2023-04-18 22:43:40.699806,2023-04-18 22:44:15.346211,0 days 00:00:34.646405,0.9700267496433083,4.358657091345288e-08,0.009685757120362067,0.9765321083360645,0.00014520645237873302,0.0201389092321381,17.094219783313378,0.5936194626756955,COMPLETE
4,-82.85098266601562,2023-04-18 22:44:15.351000,2023-04-18 22:46:28.430806,0 days 00:02:13.079806,0.9626549888185953,5.680412360962913e-06,4.6392334204914786e-05,0.9453229808273269,3.646980752732504e-05,0.03470813337010787,516.6653844267057,0.6152937619593283,COMPLETE
5,-0.09299999475479126,2023-04-18 22:44:17.735013,2023-04-18 22:46:27.516364,0 days 00:02:09.781351,0.9067663789310327,5.944728261540559e-07,0.0003173873855085595,0.9040025280064655,0.002597309569658706,0.18555545479189395,490.0624843804811,0.7327379932141257,COMPLETE
6,-61.21799850463867,2023-04-18 22:44:32.788681,2023-04-18 22:49:57.488222,0 days 00:05:24.699541,0.9009138675422779,0.06867761462517277,0.006819964825167688,0.9739483422938023,0.00011310287287228884,0.1457470623535528,2019.0591119756064,0.6392005721537778,COMPLETE
7,-56.600982666015625,2023-04-18 22:46:21.731427,2023-04-18 22:47:01.365257,0 days 00:00:39.633830,0.9206650475208149,4.027731133274638e-06,0.08303551427940505,0.9964588451840182,8.250905908361091e-05,0.0663672512819903,81.55586948778407,0.8977692519260532,COMPLETE
8,-0.0009999989997595549,2023-04-18 22:46:27.520500,2023-04-18 22:47:13.010998,0 days 00:00:45.490498,0.9446403495801586,0.0016057934495671555,5.4779873693282054e-05,0.9128532306313476,0.0065273355382474306,0.010837972754993647,98.98702052074009,0.643879200769495,COMPLETE
9,-55.925987243652344,2023-04-18 22:46:28.433215,2023-04-18 22:47:07.010405,0 days 00:00:38.577190,0.9428999285327362,0.00029711859639938975,0.024144401970642652,0.9411442729201329,0.00026687448063241484,0.6152225877655064,28.995692246176716,0.5218632157405887,COMPLETE
10,-0.0,2023-04-18 22:47:01.370381,2023-04-18 22:47:47.284581,0 days 00:00:45.914200,0.9299228781947989,1.2850908265009671e-05,0.0023402348375666173,0.955983943427476,0.00014131417223782925,0.012272571793832902,121.72752266403039,0.7330971366273535,COMPLETE
11,-0.13999998569488525,2023-04-18 22:47:07.029228,2023-04-18 22:47:45.222974,0 days 00:00:38.193746,0.9567891924850477,1.1643119917213525e-08,1.6630226481925887e-05,0.9104549396104374,0.0006506381049798908,0.04109615825889159,68.24049196293828,0.7886674483638147,COMPLETE
12,-0.0,2023-04-18 22:47:13.013307,2023-04-18 22:51:10.170122,0 days 00:03:57.156815,0.9274611389562852,0.00706872065396535,0.0001640810496090379,0.9325762929296764,0.0019420700901031807,0.010172434675193973,871.8140870818127,0.8067244015192104,COMPLETE
