Unnamed: 0,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor,time_delta,back_probability,lay_probability,back_look_back_probs,lay_look_back_probs,lay_back_average,ema_back_one,ema_back_two,ema_lay_one,ema_lay_two,macd_back,macd_lay
1,51002,7.0,56.77,10.0,10.06,7.4,27.77,ACTIVE,,17.698,1195,0.14285714285714285,0.1,,,,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698,1190,0.14285714285714285,0.1,,,,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698,1185,0.14285714285714285,0.1,,,,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698,1180,0.14285714285714285,0.1,,,,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698,1175,0.14285714285714285,0.1,,,,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698,1170,0.14285714285714285,0.1,0.14285714285714285,0.10000000000000002,0.12142857142857144,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,58.51,10.0,11.8,7.4,27.77,ACTIVE,,17.698,1165,0.14285714285714285,0.1,0.14285714285714282,0.10000000000000002,0.12142857142857141,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,56.77,10.0,10.06,7.4,27.77,ACTIVE,,17.698,1160,0.14285714285714285,0.1,0.14285714285714285,0.09999999999999999,0.12142857142857141,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,56.77,10.0,10.06,7.4,27.77,ACTIVE,,17.698,1155,0.14285714285714285,0.1,0.14285714285714282,0.09999999999999999,0.12142857142857141,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,56.77,10.0,10.06,7.4,27.77,ACTIVE,,17.698,1150,0.14285714285714285,0.1,0.14285714285714285,0.10000000000000002,0.12142857142857144,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,56.77,10.0,10.06,7.4,27.77,ACTIVE,,17.698,1145,0.14285714285714285,0.1,0.14285714285714282,0.10000000000000002,0.12142857142857141,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,56.77,10.0,10.06,7.4,27.77,ACTIVE,,17.698,1140,0.14285714285714285,0.1,0.14285714285714285,0.09999999999999999,0.12142857142857141,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.0,56.77,10.0,10.06,7.4,27.77,ACTIVE,,17.698,1135,0.14285714285714285,0.1,0.14285714285714282,0.09999999999999999,0.12142857142857141,0.14285714285714285,0.14285714285714285,0.1,0.1,0.0,0.0
1,51002,7.2,6.63,10.0,7.26,7.4,27.77,ACTIVE,,17.698,1130,0.1388888888888889,0.1,0.14219576719576718,0.10000000000000002,0.1210978835978836,0.14224664224664224,0.1417233560090703,0.1,0.1,0.000523286237571946,0.0
1,51002,7.2,6.63,9.8,6.98,7.4,27.77,ACTIVE,,17.698,1125,0.1388888888888889,0.1020408163265306,0.1415343915343915,0.10034013605442177,0.12093726379440664,0.14173006480698788,0.14091350826044702,0.10031397174254317,0.10058309037900875,0.0008165565465408642,-0.0002691186364655873
1,51002,7.2,6.63,9.8,6.98,7.4,27.77,ACTIVE,,17.698,1120,0.1388888888888889,0.1020408163265306,0.14087301587301587,0.10068027210884355,0.12077664399092972,0.14129296081958803,0.14033504558285897,0.1005796401400797,0.10099958350687215,0.0009579152367290567,-0.0004199433667924496
1,51002,7.2,6.63,9.8,7.7,7.4,27.77,ACTIVE,,17.698,1115,0.1388888888888889,0.1020408163265306,0.1402116402116402,0.1010204081632653,0.12061602418745275,0.14092310359948046,0.13992185795601036,0.10080443647645676,0.10129707859820314,0.0010012456434700945,-0.0004926421217463783
1,51002,7.2,6.63,9.8,7.7,7.4,27.77,ACTIVE,,17.698,1110,0.1388888888888889,0.1020408163265306,0.13955026455026456,0.10136054421768707,0.12045540438397581,0.14061014749015868,0.1396267239368328,0.1009946487610835,0.10150957509201099,0.0009834235533258961,-0.0005149263309274926
1,51002,7.2,6.63,9.8,7.7,7.4,27.77,ACTIVE,,17.698,1105,0.1388888888888889,0.1020408163265306,0.13888888888888887,0.10170068027210884,0.12029478458049886,0.14034533847457872,0.13941591392313452,0.10115559761730614,0.10166135830187374,0.0009294245514442079,-0.0005057606845676049
1,51002,7.0,58.76,9.8,5.96,7.4,27.77,ACTIVE,,17.698,1100,0.14285714285714285,0.1020408163265306,0.13955026455026456,0.1020408163265306,0.12079554043839758,0.14073176991805011,0.14039912218999404,0.10129178511103298,0.10176977488034714,0.0003326477280560791,-0.00047798976931415216
1,51002,7.0,58.76,9.8,5.96,7.4,27.77,ACTIVE,,17.698,1095,0.14285714285714285,0.1020408163265306,0.1402116402116402,0.10204081632653061,0.12112622826908541,0.14105875037021823,0.1411014138091794,0.10140702068264801,0.10184721529354242,-4.266343896117131e-05,-0.00044019461089440937
