,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
0,43653365,5.7,6.21,17.0,5.34,16.5,42.02,ACTIVE,,
1,47017083,1.63,34.19,1.98,10.01,,0.0,ACTIVE,,
2,40762513,16.5,5.5,65.0,5.14,,0.0,ACTIVE,,
3,38214962,15.5,13.17,60.0,5.16,,0.0,ACTIVE,,
4,41286638,9.4,6.59,27.0,6.74,,0.0,ACTIVE,,
5,39787308,38.0,6.75,440.0,7.03,280.0,4.66,ACTIVE,,
6,40733455,4.6,34.17,9.0,5.64,4.7,83.95,ACTIVE,,
7,42324350,8.6,6.66,25.0,7.54,,0.0,ACTIVE,,
0,43653365,5.7,6.21,17.0,5.3,16.5,42.02,ACTIVE,,
1,47017083,1.63,34.19,1.98,10.01,,0.0,ACTIVE,,
2,40762513,16.5,5.5,65.0,5.14,,0.0,ACTIVE,,
3,38214962,15.5,13.17,60.0,5.16,,0.0,ACTIVE,,
4,41286638,9.4,6.59,27.0,6.74,,0.0,ACTIVE,,
5,39787308,38.0,6.75,440.0,7.03,280.0,4.66,ACTIVE,,
6,40733455,4.6,34.17,9.0,5.64,4.7,83.95,ACTIVE,,
7,42324350,8.6,6.66,25.0,7.54,,0.0,ACTIVE,,
0,43653365,5.8,7.91,17.0,5.3,16.5,42.02,ACTIVE,,
1,47017083,1.63,34.19,1.98,10.01,,0.0,ACTIVE,,
2,40762513,16.5,8.98,65.0,5.14,,0.0,ACTIVE,,
3,38214962,16.0,8.99,60.0,8.64,,0.0,ACTIVE,,
4,41286638,9.6,6.59,28.0,9.2,,0.0,ACTIVE,,
5,39787308,40.0,5.24,440.0,7.03,280.0,4.66,ACTIVE,,
6,40733455,4.6,34.17,8.8,7.35,4.7,83.95,ACTIVE,,
7,42324350,9.0,5.67,25.0,7.54,,0.0,ACTIVE,,
0,43653365,6.0,10.58,17.0,5.3,16.5,42.02,ACTIVE,,
1,47017083,1.63,34.19,1.98,10.01,,0.0,ACTIVE,,
2,40762513,16.5,8.98,65.0,5.14,,0.0,ACTIVE,,
3,38214962,16.0,8.99,60.0,8.64,,0.0,ACTIVE,,
4,41286638,9.6,5.68,28.0,9.2,,0.0,ACTIVE,,
5,39787308,40.0,5.24,440.0,7.03,280.0,4.66,ACTIVE,,
6,40733455,4.6,34.17,8.8,6.89,4.7,83.95,ACTIVE,,
7,42324350,8.4,19.37,25.0,7.54,,0.0,ACTIVE,,
0,43653365,6.2,7.91,17.0,5.3,16.5,42.02,ACTIVE,,
1,47017083,1.63,34.19,1.98,10.01,,0.0,ACTIVE,,
2,40762513,16.5,8.98,65.0,5.14,,0.0,ACTIVE,,
3,38214962,16.0,8.99,60.0,8.64,,0.0,ACTIVE,,
4,41286638,9.6,9.16,28.0,9.2,,0.0,ACTIVE,,
5,39787308,40.0,5.24,440.0,7.03,280.0,4.66,ACTIVE,,
6,40733455,4.6,34.17,8.4,7.64,4.7,83.95,ACTIVE,,
7,42324350,8.8,5.38,25.0,7.54,,0.0,ACTIVE,,
0,43653365,6.4,8.57,19.0,14.26,16.5,42.02,ACTIVE,,
1,47017083,1.63,34.19,1.98,10.01,,0.0,ACTIVE,,
2,40762513,16.5,8.98,65.0,5.14,,0.0,ACTIVE,,
3,38214962,16.0,8.99,60.0,8.64,,0.0,ACTIVE,,
4,41286638,9.6,9.16,28.0,9.2,,0.0,ACTIVE,,
5,39787308,40.0,5.24,440.0,7.03,280.0,4.66,ACTIVE,,
6,40733455,4.6,34.17,8.4,7.64,4.7,83.95,ACTIVE,,
7,42324350,9.0,7.86,25.0,7.54,,0.0,ACTIVE,,
0,43653365,6.6,7.33,19.0,14.26,16.5,42.02,ACTIVE,,
1,47017083,1.63,56.88,1.98,10.01,,0.0,ACTIVE,,
2,40762513,16.5,8.98,65.0,5.14,,0.0,ACTIVE,,
3,38214962,16.0,8.99,60.0,8.64,,0.0,ACTIVE,,
4,41286638,9.6,9.16,28.0,9.2,,0.0,ACTIVE,,
5,39787308,40.0,5.24,440.0,7.03,280.0,4.66,ACTIVE,,
6,40733455,4.6,34.17,8.4,7.64,4.7,83.95,ACTIVE,,
7,42324350,9.0,7.86,25.0,7.54,,0.0,ACTIVE,,
0,43653365,6.0,14.96,19.0,14.26,16.5,42.02,ACTIVE,,
