,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
0,16480551,4.4,6.79,9.6,19.08,,0,ACTIVE,,49.991
1,36120649,42,5.18,610,8.72,,0,ACTIVE,,0.579
2,25295759,3.2,23.96,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,11.67,15.5,6.28,,0,ACTIVE,,6.43
4,37993093,15.5,12.72,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,7.98,380,8.95,,0,ACTIVE,,0.891
6,41575988,4.8,10.86,6.6,42.95,5.1,52,ACTIVE,,6.43
7,46863743,5,6.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,6.79,9.6,19.08,,0,ACTIVE,,49.991
1,36120649,44,8.46,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,23.96,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,11.67,15.5,6.28,,0,ACTIVE,,6.43
4,37993093,16,8.42,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,7.98,370,6.02,,0,ACTIVE,,0.891
6,41575988,4.8,10.86,6.6,42.95,5.1,52,ACTIVE,,6.43
7,46863743,5,6.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,19.08,,0,ACTIVE,,49.991
1,36120649,44,8.46,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,12.36,15.5,6.28,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,8.17,370,6.02,,0,ACTIVE,,0.891
6,41575988,4.8,11.9,6.6,42.95,5.1,52,ACTIVE,,6.43
7,46863743,5,7.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,19.08,,0,ACTIVE,,49.991
1,36120649,44,8.46,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,12.36,16,6.2,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,8.17,370,7.22,,0,ACTIVE,,0.891
6,41575988,4.8,11.9,6.6,42.95,5.1,52,ACTIVE,,6.43
7,46863743,5,7.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,19.08,,0,ACTIVE,,49.991
1,36120649,44,8.46,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,12.36,16,6.2,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,8.17,370,7.22,,0,ACTIVE,,0.891
6,41575988,4.8,11.9,6.6,42.95,5.1,52,ACTIVE,,6.43
7,46863743,5,7.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.46,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,12.36,16,6.2,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,8.17,370,7.22,,0,ACTIVE,,0.891
6,41575988,4.8,11.9,6.6,42.95,5.1,52,ACTIVE,,6.43
7,46863743,5,7.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.95,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.46,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,12.36,16,6.2,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,8.17,370,7.22,,0,ACTIVE,,0.891
6,41575988,4.8,11.9,6.6,42.95,5.1,52,ACTIVE,,6.43
7,46863743,5,7.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.57,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,12.36,16,6.2,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,8.17,370,7.22,,0,ACTIVE,,0.891
6,41575988,4.8,10.86,6.6,51.52,5.1,52,ACTIVE,,6.43
7,46863743,5,7.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.57,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.2,12.36,16,6.2,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,8.17,370,7.22,,0,ACTIVE,,0.891
6,41575988,4.8,10.86,6.6,51.52,5.1,52,ACTIVE,,6.43
7,46863743,5,7.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.57,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.4,21.75,16,6.2,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,27,8.17,370,7.22,,0,ACTIVE,,0.891
6,41575988,4.8,10.86,6.6,51.52,5.1,52,ACTIVE,,6.43
7,46863743,5,7.61,9.2,8.82,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.57,600,6.99,,0,ACTIVE,,0.579
2,25295759,3.2,25.52,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.4,22.44,17,6.06,,0,ACTIVE,,6.43
4,37993093,16,8.73,70,7.93,,0,ACTIVE,,0.579
5,24228795,32,8.46,370,7.22,,0,ACTIVE,,0.891
6,41575988,4.8,10.86,6.6,51.52,5.1,52,ACTIVE,,6.43
7,46863743,5,7.63,9.4,8.72,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.57,600,7.52,,0,ACTIVE,,0.579
2,25295759,3.35,6.69,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.4,25.9,17,6.06,,0,ACTIVE,,6.43
4,37993093,16,8.75,70,8.46,,0,ACTIVE,,0.579
5,24228795,32,8.62,350,7.75,,0,ACTIVE,,0.891
6,41575988,4.8,10.86,6.4,32.77,5.1,52,ACTIVE,,6.43
7,46863743,5,7.63,9.4,8.72,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.57,580,6.99,,0,ACTIVE,,0.579
2,25295759,3.35,6.69,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.4,25.9,17,6.06,,0,ACTIVE,,6.43
4,37993093,16,8.75,60,6.39,,0,ACTIVE,,0.579
5,24228795,32,8.62,350,10.68,,0,ACTIVE,,0.891
6,41575988,4.8,10.86,6.4,32.77,5.1,52,ACTIVE,,6.43
7,46863743,5,7.63,9.4,8.72,,0,ACTIVE,,6.004
8,8522457,5.4,14.53,14,13.93,,0,ACTIVE,,5.628
0,16480551,4.4,7.93,9.6,18.95,,0,ACTIVE,,49.991
1,36120649,44,8.57,580,6.99,,0,ACTIVE,,0.579
2,25295759,3.35,7.99,6.4,11.57,,0,ACTIVE,,23.468
3,14072710,7.4,25.9,17,6.06,,0,ACTIVE,,6.43
4,37993093,16,8.73,60,6.39,,0,ACTIVE,,0.579
