,Selection ID,Best Back Price,Best Back Size,Best Lay Price,Best Lay Size,Last Price Traded,Total Matched,Status,Removal Date,Adjustment Factor
0,42209247,1.63,7.35,1.87,16.81,1.68,52.33,ACTIVE,,
1,36830955,9.2,12.6,22.0,6.5,,0.0,ACTIVE,,
2,38398733,6.2,16.9,14.5,9.67,,0.0,ACTIVE,,
3,39714419,9.2,13.43,24.0,6.0,,0.0,ACTIVE,,
4,39906035,16.0,6.15,110.0,9.49,,0.0,ACTIVE,,
5,35499919,17.0,5.71,170.0,6.57,,0.0,ACTIVE,,
6,42236681,6.2,19.45,14.5,9.8,,0.0,ACTIVE,,
7,37994222,16.0,6.15,120.0,10.52,,0.0,ACTIVE,,
0,42209247,1.63,7.35,1.87,16.81,1.68,52.33,ACTIVE,,
1,36830955,9.2,12.6,22.0,6.5,,0.0,ACTIVE,,
2,38398733,6.2,16.9,14.5,9.67,,0.0,ACTIVE,,
3,39714419,9.2,13.43,24.0,6.0,,0.0,ACTIVE,,
4,39906035,16.0,6.15,110.0,9.49,,0.0,ACTIVE,,
5,35499919,17.0,5.71,170.0,6.57,,0.0,ACTIVE,,
6,42236681,6.2,19.45,14.5,9.8,,0.0,ACTIVE,,
7,37994222,16.0,6.15,120.0,10.52,,0.0,ACTIVE,,
0,42209247,1.63,7.35,1.86,7.0,1.68,52.33,ACTIVE,,
1,36830955,9.2,12.6,22.0,14.83,,0.0,ACTIVE,,
2,38398733,6.2,16.9,14.5,9.57,,0.0,ACTIVE,,
3,39714419,9.2,13.43,24.0,13.65,,0.0,ACTIVE,,
4,39906035,16.0,6.15,110.0,9.49,,0.0,ACTIVE,,
5,35499919,17.0,5.71,170.0,6.57,,0.0,ACTIVE,,
6,42236681,6.2,19.45,14.5,9.8,,0.0,ACTIVE,,
7,37994222,16.0,6.15,120.0,10.52,,0.0,ACTIVE,,
0,42209247,1.63,7.35,1.85,17.0,1.68,52.33,ACTIVE,,
1,36830955,9.2,12.6,22.0,6.5,,0.0,ACTIVE,,
2,38398733,6.2,16.9,14.5,9.57,,0.0,ACTIVE,,
3,39714419,9.2,13.43,24.0,6.0,,0.0,ACTIVE,,
4,39906035,16.0,6.15,110.0,9.49,,0.0,ACTIVE,,
5,35499919,17.0,5.71,170.0,6.57,,0.0,ACTIVE,,
6,42236681,6.2,19.45,14.5,9.67,,0.0,ACTIVE,,
7,37994222,16.0,6.15,120.0,10.52,,0.0,ACTIVE,,
0,42209247,1.63,7.35,1.85,17.0,1.68,52.33,ACTIVE,,
1,36830955,9.2,12.6,22.0,6.5,,0.0,ACTIVE,,
2,38398733,6.2,16.9,14.5,9.57,,0.0,ACTIVE,,
3,39714419,9.2,13.43,24.0,6.0,,0.0,ACTIVE,,
4,39906035,16.0,6.15,110.0,9.49,,0.0,ACTIVE,,
5,35499919,17.0,5.71,170.0,6.57,,0.0,ACTIVE,,
6,42236681,6.2,19.45,14.5,9.67,,0.0,ACTIVE,,
7,37994222,16.0,6.15,120.0,10.52,,0.0,ACTIVE,,
0,42209247,1.63,7.35,1.85,17.0,1.68,52.33,ACTIVE,,
1,36830955,9.2,12.6,22.0,14.78,,0.0,ACTIVE,,
2,38398733,6.2,16.9,14.5,9.57,,0.0,ACTIVE,,
3,39714419,8.0,10.54,24.0,6.0,,0.0,ACTIVE,,
4,39906035,14.5,6.15,110.0,9.49,,0.0,ACTIVE,,
5,35499919,17.0,5.71,170.0,6.57,,0.0,ACTIVE,,
6,42236681,6.2,19.45,14.5,9.67,,0.0,ACTIVE,,
7,37994222,14.5,6.17,120.0,9.49,,0.0,ACTIVE,,
0,42209247,1.63,7.35,1.85,17.0,1.68,52.33,ACTIVE,,
1,36830955,9.2,12.6,22.0,6.5,,0.0,ACTIVE,,
2,38398733,6.2,16.9,14.5,9.57,,0.0,ACTIVE,,
